 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

2301768,202511,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,,,,Tower ZZZ,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Fire/Overheat Warning,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,2301768,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Approaching 100 kts (approximately 95 kts); we received a Master Warning and Engine 2 Fire indication. As the reject was initiated; the fire indication disappeared. After completing the Reject maneuver; we referenced the QRC and confirmed with Tower and FAs that they saw no indications of a fire. We then reviewed the Rejected Takeoff checklist in the Flight Manual; exited the runway; and had ARFF (Airport Rescue and Firefighting) look over the aircraft. After ARFF indicted that everything looked normal; we shutdown Engine 2 to taxi back using normal single-engine procedures. After parking and confirming that the aircraft was chocked; the brakes were left off in accordance with flight manual guidance. Throughout the situation; passengers were kept informed and there was no indication of any injuries. After passengers deplaned; the Captain communicated with Dispatch/Maintenance Control/Chief Pilot and the crew debriefed the event. The crew subsequently operated the scheduled flight with a different aircraft.",,,,"A320 Captain reported rejecting a takeoff at 95 knots due to an engine fire warning and indication on the right engine.  Crew returned to gate after CFR evaluated the aircraft.",
2301817,202511,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,,,,Ramp ZZZ,Air Carrier,B777 Undifferentiated or Other Model,,,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Cargo Compartment Fire/Overheat Warning,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,2301817,Aircraft X,Flight Deck,Air Carrier,First Officer,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,,,,2301784,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,Taxi,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,Aircraft,Aircraft,"Spot X ZZZ. After pushback.  Both engines running. Prior to after start checklist.  Fire aft cargo EICAS message with bell.Ran fire aft cargo checklist to include discharging bottles 1A and 1B.  Requested Priority Handling.  Fire light went out.  Flight attendants had no indications of smoke or fire.  Fire and rescue crews arrived and determined no apparent fire indication cargo.  Aircraft was towed back to gate XX",,"Shortly after both engines started but before after start checklist; at Spot X; FIRE CARGO AFT message appeared on EICAS. Discharged bottles (1A; 1B) per the checklist. Requested Priority Handling with Ramp and FIRE/RESCUE was dispatched. FAs were informed and indicated that no smoke was evident at this time. Inspecting Aft Cargo; FIRE/RESCUE eventually found no fire. Tow-in was uneventful.",,"B777 crew reported receiving a cargo fire EICAS message and associated alarm after engine start.  Crew discharged both fire bottles and returned to gate.",
2302457,202511,,ZZZ.ARTCC,US,,,,,,VMC,,,,,,Center ZZZ,Air Carrier,B757 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,Fuel System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Communication Breakdown; Troubleshooting,Party1 Flight Crew; Party2 Dispatch,,2302457,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Fuel Issue,,,Automation Aircraft Other Automation,In-flight,Flight Crew Inflight Shutdown; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Prior to departure in ZZZ1 we had a fuel config light that would not stay illuminated. I wrote it up. It had been written up before and Maintenance changed the entire fuel panel to fix the fuel config light. This took a slight delay at the gate for Maintenance to fix this item. Fast forward to airborne cruise about 80 miles outside of ZZZ; I received a scratch pad FMC message that said fuel disagree. The difference was around 2000 lbs between the left and right value on progress page 2. A couple minutes prior I had turned the center tank pumps off; and at that moment I had verified that left and right tank were actually perfectly equal in quantity I transferred the flight controls to the First Officer (FO) and referenced the checklist which led me to the fuel leak checklist. I read the fuel leak checklist and was trying to determine if we indeed had a fuel leak or not. The right tank was dropping quantity very fast over 3000 pounds approaching 4000 in less than 10 minutes prior to this both left and right tanks were perfectly equal. I sent the First Officer back to look outside and he confirmed we had fuel spray off the right engine. I paused the checklist at the engine; shut down step and tried to contact Dispatch and Maintenance. Dispatch gave me a VHF frequency. I was unsuccessful in reaching Dispatch. I requested a second frequency and I still was unable to receive a transmission from Dispatch. I reverted back to text messages via ACARS; and I let Dispatch know we had a confirmed fuel leak; and we were going to shut down the right engine and we need an airport and I was requesting ZZZ that it was right in front of us and it was VFR. ZZZ2 was quite far away; and ZZZ2 was cat three at that time. I requested the weather from Air Traffic Control and I requested a lower altitude in preparation for engine shut down. I finished the checklist; calculated the landing distance; and I briefed the Flight Attendant. I made a PA and I requested priority handling with Air Traffic Control. Once the checklist was complete and the engine was secure. the fuel leak stopped. I reference the overweight; landing checklist in the diversion guide in the quick reference guide of the flight operations manual. I transferred the controls back to myself for the landing. We landed 2500 pounds overweight and the brake temperature were at four with two tires at five. I made a normal soft touchdown and had crash fire rescue inspect the aircraft on the runway. I had the First Officer make a remain seated PA; After receiving the OK from the equipment I made an announcement; expressing caring and safety; and that we will take care of each and every one of them and get them to their destination. I taxi the aircraft following an operations vehicle to the remote pack. Upon reaching the Pad; I spoke with Maintenance Control; Dispatch; and the Chief Pilot. I made additional announcements letting everyone know what was going on. It took a while for the stairs to arrive. The buses were only capable of carrying 17 persons and there was not any company personnel to assist us. I sent the FO on the first bus to have a representative in the terminal. I stayed with the aircraft and helped 17 or 18 passengers walk down the stairs and carried approximately 70 passengers luggage down the stairs because we did not have any anyone there to help us passengers were bus to the main terminal in small buses; this took an extensive time after all passengers were off. I stayed with the aircraft until the cargo was unloaded. I then shut down the aircraft and close the main cabin door ensuring the aircraft was chocked on all gears. I completed the maintenance write ups for overweight; landing; fuel leak and hot brakes.",,,,"Air carrier Captain reported a fuel leak and subsequent engine shut down during cruise. Flight diverted and landed safely.",
2302774,202511,,ZZZ.Airport,US,,,,,,VMC,,,,,,TRACON ZZZ; Tower ZZZ,Air Carrier,B787 Dreamliner Undifferentiated or Other Model,,3,Part 121,IFR,Passenger,,Takeoff / Launch,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Autothrottle/Speed Control,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Troubleshooting,,,2302774,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 210; Flight Crew Total 14500; Flight Crew Type 3925,,Troubleshooting,,,2302780,Aircraft Equipment Problem Critical; Deviation - Speed All Types; Inflight Event / Encounter Weather / Turbulence,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Right after takeoff between 800' and 1000' the throttles began to retard as airspeed bug had dropped down to the top of the amber band (Minimum Maneuvering Speed). The auto throttle was disconnected and the MCP (Mode Control Panel) speed window was opened to set a higher speed. The FO and Relief Pilot confirmed that we did NOT  have an unreliable airspeed indication. After completing the After Takeoff Checklist; we used FLCH; V/S and ALT HOLD to complete the climb to cruise altitude.During the climb; we tried multiple times to select VNAV; but it would always result in the airspeed bug dropping to the top of the amber band and had to resort to other MCP modes.  Attempts to change cruise speed or CI (Cost Index) values had no effect on the the airspeed bug.We contacted Dispatch who brought in Maintenance Control and Fleet Support to attempt to troubleshoot the problem with no success.With poor weather and low ceilings forecast at destination and alternates; we elected to return to ZZZ. Fuel dumping was NOT required to land below Max Landing Weight. Landing at ZZZ was uneventful; but VNAV seemed to struggle with calculations.",,"ZZZ - ZZZ1During T/O roll; all FMA'S (Flight Mode Annunciator) seemed to be normal.  Once airborne climbing through approximately 800' to 1000' MSL; I saw the Relief Pilot's hand reach up to the throttles as I was making a radio call. I looked down and saw the throttles retarded half way and the PF(Capt) hand was not on them. We were leveling off with airspeed indicated around V2. I pushed up the throttles at the same time noticing the VNAV commanded speed bug dropped to the top of the speed tape Amber Bar (Min Maneuver Speed). Capt regain control of throttles and disengaged auto throttles. With no further trend to an undesired aircraft state; I opened the MCP (Mode Control Panel) speed window and set a higher speed approx 210 kts to climb and help accelerate to retract flaps followed with setting CMS (Climb Speed) during steady acceleration and climb  trends. During the maneuver; I asked the Relief Pilot to verify we didn't have an unreliable airspeed issue or such and it was determined that was not the case.  After Take Off Checklist complete; we used  MCP modes; FLCH; V/S; and Alt Hold;  for rest of climb with normal Auto Throttle response. We tried at higher intermediate altitudes to re-select VNAV with little success. Airspeed bug would drop to top of amber band and had to revert to other MCP modes. Once level at FL360 the we were able to have the FMS go from CLMB to CRUISE and VNAV speed would revert to the current speed indicated. While manipulating the FMC VNAV Cruise speed or CI (Cost Index) values had zero effect on the Flight display speed bug or a response by the Auto Throttle.Dispatch; Maintenance Control and Fleet support were brought in and helped with further trouble shooting.  With Fleet Support; we repeated many of initial attempts and also deleted/changed arrival/APP; Changed to RTE2 (Route);  and many other FMC manipulation with no success. With TS (Thunderstorm) forecast and lower weather at destinations and ETOPS ALTN (Alternate); It was determined by crew and all parties to return to ZZZ. Landing would be below max landing weight and fuel dumping was not required. During descent VNAV seemed to struggle with calculations and crew used other MCP MODES.  Return to ZZZ was uneventful. Maintenance performed procedures and aircraft was released with new crew to continue to ZZZ1.",,"Air carrier flight crew reported experiencing the auto throttles retard while on departure; resulting in the flight crew disengaging the auto throttles to regain control of the aircraft's speed. The flight crew returned to the departure airport where they landed safely.",
2302787,202511,0001-0600,ZZZ.ARTCC,US,,,,33000,,VMC,,,,,,Center ZZZ,Air Carrier,B757 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Fuel System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Time Pressure; Troubleshooting,,,2302787,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Fuel Issue,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Inflight Shutdown; Flight Crew Landed in Emergency Condition; Flight Crew Overcame Equipment Problem; General Flight Cancelled / Delayed,Aircraft,Aircraft,"Fuel Leak was observed 1 hour into ZZZ1-ZZZ2 Flight Segment.   The flight was planned for a maximum weight landing in ZZZ2.  The cruise speed was systematically increased to give a projected landing fuel load of ~500 lbs below max landing weight.  If there was a fuel leak in the early portion of the flight; it may have been hidden due to our dynamic planning and the fuel coming from the center tanks.   Shortly after completion of center tank fuel burn off; a scratchpad message indicating a difference between measured and calculated fuel state indicated that there was an anomalous fuel state.  We noticed a near 1000 lb wing tank fuel differential immediately; and saw that the measured and calculated fuel used had a differential that was larger than this.  Control of the aircraft was exchanged to myself; the FO; and the captain began to run the Fuel Leak non annunciated procedure.  Controls were exchanged again to allow me to go after and look for visual indications.  Looking  the wing through one of the bulkhead windows revealed a mist trail that I would describe as 2 feet in diameter and opaque with a quality to condensation trails that for when landing in high humidity areas.   Back in the flight deck I reported I was able to visually confirm that I could see fluid leaving the aircraft.  The fuel imbalance and anomalies had grown; and procedure directed shutdown was accomplished.  The aircraft was prepared for an overweight single engine landing in ZZZ on the longest runway available.   An unremarkable landing was completed and after inspection by emergency services; we continued under our own power to the remote parking location.  After approx 1 hour of ground delay; passengers began disembarking via air stair.  I went into the terminal to provide an early morning representative for the company; and the captain remained onboard the aircraft.  There were significant delays in unloading passengers and baggage due to limited ground resources.  The aircraft was secured by the captain roughly 4-5 hours after landing.",,,,"B757 First Officer reported a fuel leak that resulted in a divert and overweight landing.",
2302908,202511,,ZZZ.Airport,US,,,0,,,,,,,,,Tower ZZZ,Air Carrier,A320,,2,Part 121,IFR,Ferry / Re-Positioning,FMS Or FMC; GPS,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Airspeed Indicator,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown,Party1 Flight Crew; Party2 Maintenance,,2302908,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural MEL / CDL,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Returned To Gate; Flight Crew Rejected Takeoff; General Flight Cancelled / Delayed; General Maintenance Action; General Work Refused; General Release Refused / Aircraft Not Accepted,Aircraft,Aircraft,"When reviewing the logbook it was discovered that the previous crew had done an air return based on unreliable speed.  A special flight permit was then issued based on ADR1 being inoperative.  The logbook stated that an inspection had been done by Maintenance of the TAT1 (Total Air Temperature) prob; no defects were noted; and the aircraft was signed off to ferry the aircraft and aircraft was safe for flight.  Under the other restrictions section of the special flight permit stated; follow Manual pro/abnormal and emergency procedures for ADR1 fault.  Based on the logbook entry of the aircraft safe for flight; I took this statement as follow the Manual procedure if ADR1 fault to occur.  Based on previous crews write-up; Captain briefed me to pay close attention to airspeed disagreement on takeoff and we both came to an agreement that we will abort if a speed discrepancy is noted.  On takeoff role; me the FO; was the pilot PM; said 80 kts and  Captain noted the airspeed was only at 50 kts so he performed the abort.  We exited the runway and called dispatch to coordinate a gate return.  While waiting for ground personnel to get in place;  Captain spoke with Maintenance control about the abort and he stated we needed to preform the Manual abnormal procedure and that's what the special flight permit is for.  Soon after; dispatch sent us an ACARS telling the ramp crew was ready to bring us into the gate.  After arriving at the gate and talk with the captain we agreed to call Maintenance Control and verify exactly what we were to do.  He confirmed to follow abnormal ADR1 procedures which after doing so; showed no airspeed; altitude; or vs on the captain side.  The Captain and I both agreed that this is unsafe and therefore refused the aircraft in the interest of safety. The ferry permit guidance in the Operations Manual could be more detailed on procedures to follow.  Also; this specific permit should have been more informative on what to expect and do.  I feel I could have also called maintenance before departure for clarification on what is expected which would have prevented us departing in the first place.  I feel this ferry permit was unsafe and should not have been issued.Ferry Permit issuance and listed procedure created an aircraft to be unsafe for departure.",,,,"With an inoperative air speed indicator; the FO reported the ferry permit and aircraft were refused as unsafe by the Captain.",
2302975,202511,,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroplane Flight Control,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,,,,2302975,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,Taxi,Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Release Refused / Aircraft Not Accepted,Aircraft,Aircraft,"After engine start; during the flight control check we noticed binding when Turing the yolk to the left and then back to neutral.  We notified mx (Maintenance); returned to the gate and made a write up.  Mx performed their checks and everything passed.  However; the binding was still present when my FO and I checked the flight controls again.  In the interest of safety; we decided to refuse the aircraft.",,,,"Air carrier Captain reported that while performing the flight control check after engine start; the Captain discovered binding in movement. Flight returned to gate and the aircraft was refused.",
2303029,202511,1801-2400,ZZZ.ARTCC,US,,,,35000,,,,,,,,Center ZZZ,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Troubleshooting,,,2303029,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,,Person Flight Attendant,In-flight,Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Aircraft,Aircraft,"We were flying from ZZZ1 to ZZZ2 and when the event started we were cruising at FL350 off the coast. Everything in the flight before that had proceeded normally; but the event started with a call from FA3; I believe; informing of us of a strong and terrible odor between rows 12 and 23. It had caused on the FAs (flight attendants) to vomit and feel light headed to the point of passing out. We later found out that 2 of the other FAs noticed the smell and were getting headaches. At that point the Captain and I knew we were going to need to divert; thinking this a potential fume event; especially with the FA getting so ill. I took control of the aircraft and radios while the Captain called Dispatch through his iPad to discuss with them. Dispatch agreed with out plan of diverting to ZZZ; so I informed ATC of our request as well as the reason for the diversion. The Captain then elected to request priority handling; we decided with the information we had; it would be prudent to get priority handling to get the aircraft on the ground and receive any needed medical assistance. I was flying at this point and got the aircraft setup for the approach in ZZZ while the Captain spoke with the FAs and informed the pax of what was going on. The Captain took control of the aircraft again while I kept the radios and helped with communication back and forth with dispatch through ACARS. Once we were caught up getting everything set up and briefed for the diversion; we started looking at the QRH for a fume event. At this point we hadn't smelled anything and we both felt fine; we followed the QRH and since the odor was determined to be in the cabin elected to turn off pack 2; I think we were around 11000 to 13000 feet on the arrival at this point. Pack 2 stayed off the rest of the flight; partly was for the time required in the procedure and then we were getting into the approach phase and our focus was more on getting the aircraft on the ground safely. We had received our gate; so we requested XXC to minimize taxi time. It was until short final the we both started getting a faint odor; it had apparently been spreading throughout the cabin at that point as well; as reported by the FA in the rear of the aircraft. We had not received any complaints from passengers about feeling ill; and it was intermittent on whether they smelled it or not. Once we landed and taxied off the runway; I turned pack 1 off as well out of precaution since we had started to smell a dirty socks type odor. We taxied to the gate without issue; where we were met with the requested medics.Cause: One thing the Captain and I discussed after the event; was it probably would have been a good idea to proactively don the masks even though we didn't start to smell anything until the very end of the flight.",,,,"Air carrier First Officer reported an inflight diversion due to fumes in the cabin. Flight landed at diversion airport.",
