ACN,Narrative,Result,Synopsis,timeline_text,normalized_summary
2301768,Approaching 100 kts (approximately 95 kts); we received a Master Warning and Engine 2 Fire indication. As the reject was initiated; the fire indication disappeared. After completing the Reject maneuver; we referenced the QRC and confirmed with Tower and FAs that they saw no indications of a fire. We then reviewed the Rejected Takeoff checklist in the Flight Manual; exited the runway; and had ARFF (Airport Rescue and Firefighting) look over the aircraft. After ARFF indicted that everything looked normal; we shutdown Engine 2 to taxi back using normal single-engine procedures. After parking and confirming that the aircraft was chocked; the brakes were left off in accordance with flight manual guidance. Throughout the situation; passengers were kept informed and there was no indication of any injuries. After passengers deplaned; the Captain communicated with Dispatch/Maintenance Control/Chief Pilot and the crew debriefed the event. The crew subsequently operated the scheduled flight with a different aircraft.,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Maintenance Action,A320 Captain reported rejecting a takeoff at 95 knots due to an engine fire warning and indication on the right engine.  Crew returned to gate after CFR evaluated the aircraft.,During takeoff roll approaching 100 kts the crew received a Master Warning and Engine 2 fire indication; crew initiated and completed a rejected takeoff as the fire indication disappeared; crew referenced the QRC and confirmed with Tower and flight attendants that no fire was observed; exited the runway and ARFF inspected the aircraft and reported nothing abnormal; crew shut down Engine 2 and taxied back using single-engine procedures; parked and chocked the aircraft and left brakes off per the flight manual; passengers deplaned with no injuries; captain notified Dispatch/Maintenance Control/Chief Pilot and the crew debriefed; the scheduled flight was subsequently operated with a different aircraft.,"During the takeoff roll the crew rejected takeoff after an Engine 2 fire warning; the indication cleared, ARFF found no fire, Engine 2 was shut down, passengers deplaned without injury, and the flight was later operated on a different aircraft."
2301817,Spot X ZZZ. After pushback.  Both engines running. Prior to after start checklist.  Fire aft cargo EICAS message with bell.Ran fire aft cargo checklist to include discharging bottles 1A and 1B.  Requested Priority Handling.  Fire light went out.  Flight attendants had no indications of smoke or fire.  Fire and rescue crews arrived and determined no apparent fire indication cargo.  Aircraft was towed back to gate XX,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,B777 crew reported receiving a cargo fire EICAS message and associated alarm after engine start.  Crew discharged both fire bottles and returned to gate.,Pushback completed with both engines running and prior to after-start checklist; EICAS displayed 'Fire aft cargo' with bell; flight crew ran fire aft cargo checklist and discharged bottles 1A and 1B; crew requested priority handling; fire light went out and flight attendants reported no smoke or fire; fire and rescue arrived and found no apparent cargo fire; aircraft was towed back to gate XX; ATC provided assistance and flight returned to gate.,"An aft cargo fire EICAS message occurred after pushback; the crew discharged cargo fire bottles 1A and 1B and requested priority handling, the fire light extinguished and rescue crews found no fire, and the aircraft returned to the gate with the flight canceled or delayed."
2302457,Prior to departure in ZZZ1 we had a fuel config light that would not stay illuminated. I wrote it up. It had been written up before and Maintenance changed the entire fuel panel to fix the fuel config light. This took a slight delay at the gate for Maintenance to fix this item. Fast forward to airborne cruise about 80 miles outside of ZZZ; I received a scratch pad FMC message that said fuel disagree. The difference was around 2000 lbs between the left and right value on progress page 2. A couple minutes prior I had turned the center tank pumps off; and at that moment I had verified that left and right tank were actually perfectly equal in quantity I transferred the flight controls to the First Officer (FO) and referenced the checklist which led me to the fuel leak checklist. I read the fuel leak checklist and was trying to determine if we indeed had a fuel leak or not. The right tank was dropping quantity very fast over 3000 pounds approaching 4000 in less than 10 minutes prior to this both left and right tanks were perfectly equal. I sent the First Officer back to look outside and he confirmed we had fuel spray off the right engine. I paused the checklist at the engine; shut down step and tried to contact Dispatch and Maintenance. Dispatch gave me a VHF frequency. I was unsuccessful in reaching Dispatch. I requested a second frequency and I still was unable to receive a transmission from Dispatch. I reverted back to text messages via ACARS; and I let Dispatch know we had a confirmed fuel leak; and we were going to shut down the right engine and we need an airport and I was requesting ZZZ that it was right in front of us and it was VFR. ZZZ2 was quite far away; and ZZZ2 was cat three at that time. I requested the weather from Air Traffic Control and I requested a lower altitude in preparation for engine shut down. I finished the checklist; calculated the landing distance; and I briefed the Flight Attendant. I made a PA and I requested priority handling with Air Traffic Control. Once the checklist was complete and the engine was secure. the fuel leak stopped. I reference the overweight; landing checklist in the diversion guide in the quick reference guide of the flight operations manual. I transferred the controls back to myself for the landing. We landed 2500 pounds overweight and the brake temperature were at four with two tires at five. I made a normal soft touchdown and had crash fire rescue inspect the aircraft on the runway. I had the First Officer make a remain seated PA; After receiving the OK from the equipment I made an announcement; expressing caring and safety; and that we will take care of each and every one of them and get them to their destination. I taxi the aircraft following an operations vehicle to the remote pack. Upon reaching the Pad; I spoke with Maintenance Control; Dispatch; and the Chief Pilot. I made additional announcements letting everyone know what was going on. It took a while for the stairs to arrive. The buses were only capable of carrying 17 persons and there was not any company personnel to assist us. I sent the FO on the first bus to have a representative in the terminal. I stayed with the aircraft and helped 17 or 18 passengers walk down the stairs and carried approximately 70 passengers luggage down the stairs because we did not have any anyone there to help us passengers were bus to the main terminal in small buses; this took an extensive time after all passengers were off. I stayed with the aircraft until the cargo was unloaded. I then shut down the aircraft and close the main cabin door ensuring the aircraft was chocked on all gears. I completed the maintenance write ups for overweight; landing; fuel leak and hot brakes.,Flight Crew Inflight Shutdown; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed; General Maintenance Action,Air carrier Captain reported a fuel leak and subsequent engine shut down during cruise. Flight diverted and landed safely.,"Pre-departure fuel config light would not stay illuminated; maintenance replaced the fuel panel at the gate causing a slight delay; at cruise ~80 nm out received FMC fuel disagree (~2000 lb) and observed right tank quantity dropping rapidly (>3000–4000 lb in <10 minutes); FO confirmed fuel spray from the right engine and crew initiated the fuel leak checklist; crew attempted VHF contact with Dispatch without success, switched to ACARS to notify Dispatch and requested diversion to ZZZ, lower altitude, and ATC priority; completed checklist, performed inflight shutdown of the right engine and the fuel leak stopped; calculated overweight landing distance, briefed cabin, transferred control for landing and landed 2500 lb overweight with elevated brake temperatures and a soft touchdown; emergency services inspected the aircraft, taxied to a remote pad, passengers deplaned via stairs and buses, crew remained until cargo was offloaded and then shut down and chocked the aircraft; maintenance write-ups completed for fuel leak, overweight landing, and hot brakes.","During cruise the crew detected a rapid fuel loss and confirmed fuel spraying from the right engine; they followed the fuel leak checklist, shut down the right engine inflight, diverted to ZZZ and landed 2500 pounds overweight. Emergency services inspected the aircraft, passengers were deplaned, and maintenance write-ups were completed."
2302774,Right after takeoff between 800' and 1000' the throttles began to retard as airspeed bug had dropped down to the top of the amber band (Minimum Maneuvering Speed). The auto throttle was disconnected and the MCP (Mode Control Panel) speed window was opened to set a higher speed. The FO and Relief Pilot confirmed that we did NOT  have an unreliable airspeed indication. After completing the After Takeoff Checklist; we used FLCH; V/S and ALT HOLD to complete the climb to cruise altitude.During the climb; we tried multiple times to select VNAV; but it would always result in the airspeed bug dropping to the top of the amber band and had to resort to other MCP modes.  Attempts to change cruise speed or CI (Cost Index) values had no effect on the the airspeed bug.We contacted Dispatch who brought in Maintenance Control and Fleet Support to attempt to troubleshoot the problem with no success.With poor weather and low ceilings forecast at destination and alternates; we elected to return to ZZZ. Fuel dumping was NOT required to land below Max Landing Weight. Landing at ZZZ was uneventful; but VNAV seemed to struggle with calculations.,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed; General Maintenance Action,Air carrier flight crew reported experiencing the auto throttles retard while on departure; resulting in the flight crew disengaging the auto throttles to regain control of the aircraft's speed. The flight crew returned to the departure airport where they landed safely.,"Shortly after takeoff (800–1000') the throttles began to retard as the airspeed bug dropped to the top of the amber (Minimum Maneuvering Speed) band; crew disconnected autothrottle and opened the MCP speed window to set a higher speed; FO and Relief Pilot confirmed no unreliable airspeed indication; after completing the After Takeoff checklist, crew used FLCH, V/S and ALT HOLD to continue climb; repeated attempts to engage VNAV caused the airspeed bug to drop and VNAV would not maintain speed, so crew used other MCP modes; changes to cruise speed or Cost Index had no effect on the airspeed bug; dispatch, maintenance control, and fleet support were contacted but could not resolve the issue; due to poor weather at destination and alternates, crew elected to return to ZZZ; fuel dumping was not required and landing at ZZZ was uneventful.","During initial climb the airspeed bug repeatedly dropped to the top of the amber (minimum maneuvering) band and VNAV/autothrottle would not maintain or respond to speed/Cost Index changes, so the crew disconnected autothrottle and used other MCP modes. The flight returned to the departure airport (ZZZ) uneventfully; maintenance and fleet support could not resolve the issue and the flight was cancelled/delayed."
2302787,Fuel Leak was observed 1 hour into ZZZ1-ZZZ2 Flight Segment.   The flight was planned for a maximum weight landing in ZZZ2.  The cruise speed was systematically increased to give a projected landing fuel load of ~500 lbs below max landing weight.  If there was a fuel leak in the early portion of the flight; it may have been hidden due to our dynamic planning and the fuel coming from the center tanks.   Shortly after completion of center tank fuel burn off; a scratchpad message indicating a difference between measured and calculated fuel state indicated that there was an anomalous fuel state.  We noticed a near 1000 lb wing tank fuel differential immediately; and saw that the measured and calculated fuel used had a differential that was larger than this.  Control of the aircraft was exchanged to myself; the FO; and the captain began to run the Fuel Leak non annunciated procedure.  Controls were exchanged again to allow me to go after and look for visual indications.  Looking  the wing through one of the bulkhead windows revealed a mist trail that I would describe as 2 feet in diameter and opaque with a quality to condensation trails that for when landing in high humidity areas.   Back in the flight deck I reported I was able to visually confirm that I could see fluid leaving the aircraft.  The fuel imbalance and anomalies had grown; and procedure directed shutdown was accomplished.  The aircraft was prepared for an overweight single engine landing in ZZZ on the longest runway available.   An unremarkable landing was completed and after inspection by emergency services; we continued under our own power to the remote parking location.  After approx 1 hour of ground delay; passengers began disembarking via air stair.  I went into the terminal to provide an early morning representative for the company; and the captain remained onboard the aircraft.  There were significant delays in unloading passengers and baggage due to limited ground resources.  The aircraft was secured by the captain roughly 4-5 hours after landing.,Flight Crew Diverted; Flight Crew Inflight Shutdown; Flight Crew Landed in Emergency Condition; Flight Crew Overcame Equipment Problem; General Flight Cancelled / Delayed,B757 First Officer reported a fuel leak that resulted in a divert and overweight landing.,Flight planned with increased cruise speed to reduce landing fuel load; ~1 hour into ZZZ1-ZZZ2 segment crew observed fuel leak; after center tank burnoff scratchpad message showed a measured vs calculated fuel discrepancy; crew noted ~1000 lb wing tank fuel differential and larger measured/calculated fuel-used difference; control exchanged while captain ran Fuel Leak non-annunciated procedure; narrator visually inspected and observed an opaque mist trail and reported fluid leaving the aircraft; fuel imbalance increased and procedure-directed shutdown was accomplished; aircraft prepared for and conducted an overweight single-engine landing at ZZZ on the longest runway; emergency services inspected the aircraft and it taxied under its own power to remote parking; after ~1 hour ground delay passengers disembarked and the aircraft was secured ~4–5 hours after landing.,"Approximately one hour into the flight the crew detected and visually confirmed an in-flight fuel leak, performed procedure-directed shutdown, and diverted to ZZZ for an overweight single-engine landing. The aircraft landed uneventfully, was inspected by emergency services, taxied to remote parking under its own power, and was secured about 4–5 hours later."
2302908,When reviewing the logbook it was discovered that the previous crew had done an air return based on unreliable speed.  A special flight permit was then issued based on ADR1 being inoperative.  The logbook stated that an inspection had been done by Maintenance of the TAT1 (Total Air Temperature) prob; no defects were noted; and the aircraft was signed off to ferry the aircraft and aircraft was safe for flight.  Under the other restrictions section of the special flight permit stated; follow Manual pro/abnormal and emergency procedures for ADR1 fault.  Based on the logbook entry of the aircraft safe for flight; I took this statement as follow the Manual procedure if ADR1 fault to occur.  Based on previous crews write-up; Captain briefed me to pay close attention to airspeed disagreement on takeoff and we both came to an agreement that we will abort if a speed discrepancy is noted.  On takeoff role; me the FO; was the pilot PM; said 80 kts and  Captain noted the airspeed was only at 50 kts so he performed the abort.  We exited the runway and called dispatch to coordinate a gate return.  While waiting for ground personnel to get in place;  Captain spoke with Maintenance control about the abort and he stated we needed to preform the Manual abnormal procedure and that's what the special flight permit is for.  Soon after; dispatch sent us an ACARS telling the ramp crew was ready to bring us into the gate.  After arriving at the gate and talk with the captain we agreed to call Maintenance Control and verify exactly what we were to do.  He confirmed to follow abnormal ADR1 procedures which after doing so; showed no airspeed; altitude; or vs on the captain side.  The Captain and I both agreed that this is unsafe and therefore refused the aircraft in the interest of safety. The ferry permit guidance in the Operations Manual could be more detailed on procedures to follow.  Also; this specific permit should have been more informative on what to expect and do.  I feel I could have also called maintenance before departure for clarification on what is expected which would have prevented us departing in the first place.  I feel this ferry permit was unsafe and should not have been issued.Ferry Permit issuance and listed procedure created an aircraft to be unsafe for departure.,Flight Crew Returned To Gate; Flight Crew Rejected Takeoff; General Flight Cancelled / Delayed; General Maintenance Action; General Work Refused; General Release Refused / Aircraft Not Accepted,With an inoperative air speed indicator; the FO reported the ferry permit and aircraft were refused as unsafe by the Captain.,"Previous crew performed an air return for unreliable speed and a special flight permit was issued for ADR1 inoperative; logbook entry stated Maintenance inspected the TAT1 probe, found no defects, and signed the aircraft safe for ferry with instructions to follow Manual abnormal/emergency procedures for ADR1 fault; Captain briefed FO to monitor for airspeed disagreement and abort if noted; on takeoff roll FO called 80 kts while Captain observed 50 kts, and Captain aborted takeoff; crew exited runway, coordinated a gate return with dispatch, and contacted Maintenance Control who instructed performing the Manual abnormal ADR1 procedure per the permit; at the gate, executing the abnormal ADR1 procedure resulted in no airspeed, altitude, or vertical speed on the captain's side; crew judged the aircraft unsafe, refused the aircraft, and the flight was canceled with maintenance action and release refused","A ferry permit allowed departure with ADR1 inoperative; an airspeed disagreement on takeoff prompted an aborted takeoff and, after performing the ADR1 abnormal procedure at the gate which removed key flight indications on the captain's side, the crew refused the aircraft and canceled the flight."
2302975,After engine start; during the flight control check we noticed binding when Turing the yolk to the left and then back to neutral.  We notified mx (Maintenance); returned to the gate and made a write up.  Mx performed their checks and everything passed.  However; the binding was still present when my FO and I checked the flight controls again.  In the interest of safety; we decided to refuse the aircraft.,Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Release Refused / Aircraft Not Accepted,Air carrier Captain reported that while performing the flight control check after engine start; the Captain discovered binding in movement. Flight returned to gate and the aircraft was refused.,After engine start; during the flight control check crew noticed binding when turning the yoke left and back to neutral; crew notified maintenance and returned to the gate and made a writeup; maintenance performed checks and reported all checks passed; pilots rechecked controls and binding remained; crew refused the aircraft,"During the preflight flight control check the yoke exhibited binding when turned left and returned to neutral; despite maintenance checks that passed, the binding persisted and the crew refused the aircraft, resulting in return to gate and flight cancellation/delay."
2303029,We were flying from ZZZ1 to ZZZ2 and when the event started we were cruising at FL350 off the coast. Everything in the flight before that had proceeded normally; but the event started with a call from FA3; I believe; informing of us of a strong and terrible odor between rows 12 and 23. It had caused on the FAs (flight attendants) to vomit and feel light headed to the point of passing out. We later found out that 2 of the other FAs noticed the smell and were getting headaches. At that point the Captain and I knew we were going to need to divert; thinking this a potential fume event; especially with the FA getting so ill. I took control of the aircraft and radios while the Captain called Dispatch through his iPad to discuss with them. Dispatch agreed with out plan of diverting to ZZZ; so I informed ATC of our request as well as the reason for the diversion. The Captain then elected to request priority handling; we decided with the information we had; it would be prudent to get priority handling to get the aircraft on the ground and receive any needed medical assistance. I was flying at this point and got the aircraft setup for the approach in ZZZ while the Captain spoke with the FAs and informed the pax of what was going on. The Captain took control of the aircraft again while I kept the radios and helped with communication back and forth with dispatch through ACARS. Once we were caught up getting everything set up and briefed for the diversion; we started looking at the QRH for a fume event. At this point we hadn't smelled anything and we both felt fine; we followed the QRH and since the odor was determined to be in the cabin elected to turn off pack 2; I think we were around 11000 to 13000 feet on the arrival at this point. Pack 2 stayed off the rest of the flight; partly was for the time required in the procedure and then we were getting into the approach phase and our focus was more on getting the aircraft on the ground safely. We had received our gate; so we requested XXC to minimize taxi time. It was until short final the we both started getting a faint odor; it had apparently been spreading throughout the cabin at that point as well; as reported by the FA in the rear of the aircraft. We had not received any complaints from passengers about feeling ill; and it was intermittent on whether they smelled it or not. Once we landed and taxied off the runway; I turned pack 1 off as well out of precaution since we had started to smell a dirty socks type odor. We taxied to the gate without issue; where we were met with the requested medics.Cause: One thing the Captain and I discussed after the event; was it probably would have been a good idea to proactively don the masks even though we didn't start to smell anything until the very end of the flight.,Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Air carrier First Officer reported an inflight diversion due to fumes in the cabin. Flight landed at diversion airport.,"Cruising at FL350 off the coast when a flight attendant reported a strong odor between rows 12 and 23 that caused FAs to vomit, feel lightheaded, and one to pass out; crew decided to divert and Dispatch agreed to divert to ZZZ; PF took control and handled radios while the Captain coordinated with Dispatch, the FAs, and requested priority handling; crew briefed, consulted the QRH for a fume event, and turned off pack 2 around 11,000–13,000 ft which remained off for the remainder of the flight; a faint odor spread through the cabin on short final; after landing the crew turned off pack 1 as a precaution, taxied to the gate, and met requested medics","A suspected cabin fume/odor event caused multiple flight attendants to become ill; the flight crew diverted to ZZZ, followed QRH procedures (pack 2 off), landed with priority handling, and met medical personnel at the gate."
2303103,At approximately 600 feet agl; on the upwind; Flight Instructor (IP) noticed door open annunciation and realized the rear door was cracked open and then IP went to immediately close rear door but it unlatched and within seconds; flew/ripped clean off. IP took controls and Student Pilot (SP) held down bags and items in rear seat while we flew back to runway XX. Door is suspected to be in the ocean. We landed safely and taxied back. No damage to the tail or any other part of the plane.,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,DA40 student pilot reported that the rear door separated from the aircraft during climb. Flight landed safely.,At approximately 600 ft AGL on the upwind; instructor observed door-open annunciation and found the rear door cracked open; instructor attempted to close the rear door but it unlatched and flew off within seconds; instructor took control while the student held down bags and items in the rear seat; crew returned to runway XX and landed safely and taxied back; door is suspected to be in the ocean and no damage was observed to the tail or other parts,"The rear passenger door unlatched and separated in flight at about 600 ft AGL; the instructor took control, the crew returned to the departure airport and landed safely with no damage observed to the tail or other parts."
2303193,Discontinued takeoff due to engine failure. Had trouble trying to make comms with Airport Rescue and Firefighting (ARFF) when they arrived. Cause: Working engine.,Flight Crew Rejected Takeoff; General Flight Cancelled / Delayed,A321 NEO flight crew reported a rejected takeoff due to an engine failure.,Attempted takeoff; discontinued takeoff due to reported engine failure; ARFF arrived; crew had trouble making communications with ARFF; crew rejected takeoff and flight was cancelled or delayed.,"Crew discontinued takeoff due to reported engine failure and had trouble communicating with ARFF; the takeoff was rejected and the flight was cancelled or delayed. The report lists the cause as ""working engine""."
